Type,Message,,,
normal text,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,,,
normal text,Where you. What happen,,,
normal text,I was gonna ask you lol but i think its at 7,,,
it may be a spam message,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,,,
it may be a spam message,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,,,
normal text,Go chase after her and run her over while she's crossing the street,,,
it may be a spam message,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),,,
normal text,Is there coming friday is leave for pongal?do you get any news from your work place.,,,
normal text,Hey... Very inconvenient for your sis a not huh?,,,
normal text,Ok i vl..do u know i got adsense approved..,,,
normal text,"* Was really good to see you the other day dudette, been missing you!",,,
normal text,I want to go to perumbavoor,,,
normal text,How many times i told in the stage all use to laugh. You not listen aha.,,,
it may be a spam message,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,,,
normal text,(You didn't hear it from me),,,
normal text,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,,,
normal text,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,,,
it may be a spam message,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,,,
normal text,She ran off with a younger man. we will make pretty babies together :),,,
it may be a spam message,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,,,
normal text,O ic lol. Should play 9 doors sometime yo,,,
normal text,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",,,
normal text,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",,,
normal text,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,,,
normal text,Hmmm.still we dont have opener?,,,
normal text,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,,,
normal text,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",GN,GE,"GNT:-)"""
normal text,I will vote for wherever my heart guides me,,,
normal text,With my sis lor... We juz watched italian job.,,,
normal text,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",,,
normal text,Lmao you know me so well...,,,
it may be a spam message,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,,,
normal text,Am on a train back from nortnormal textpton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,,,
normal text,Goodnight da thangam I really miss u dear.,,,
normal text,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,,,
normal text,"Geeeee ... Your internet is really bad today, eh ?",,,
it may be a spam message,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,,,
normal text,I think i am disturbing her da,,,
normal text,"Sorry, I'll call you  later. I am in meeting sir.",,,
normal text,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
normal text,Ok i also wan 2 watch e 9 pm show...,,,
normal text,I dunno lei... Like dun haf...,,,
normal text,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,,,
normal text,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,,,
it may be a spam message,83039 62735=ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½450 UK Break AccommodationVouchers terms & conditions apply. 2 cla,,,
normal text,Talk to g and x about that,,,
normal text,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),,,
it may be a spam message,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
normal text,As in different styles?,,,
it may be a spam message,WIN a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilG,,,
normal text,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
normal text,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,,,
it may be a spam message,"This is the 2nd attempt to contract U, you have won this weeks top prize of either ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï",,,
normal text,"Well, i'm glad you didn't find it totally disagreeable ... Lol",,,
normal text,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",,,
it may be a spam message,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,,,
normal text,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,,,
normal text,\Keep ur problems in ur heart," b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..""",,
normal text,"Yeah, give me a call if you've got a minute",,,
normal text,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,DEVIOUSBITCH.ANYWAY,"Iï¿½ï¿½ï¿½ï¿""""",
normal text,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),,,
normal text,Aiya we discuss later lar... Pick ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,,
normal text,Hey happy birthday...,,,
normal text,Sorry i missed your call. Can you please call back.,,,
normal text,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,,,
normal text,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",,,
normal text,I wont do anything de.,,,
normal text,What type of stuff do you sing?,,,
normal text,"St andre, virgil's cream",,,
normal text,No no. I will check all rooms befor activities,,,
normal text,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",,,
normal text,Gokila is talking with you aha:),,,
normal text,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",,,
normal text,K.k.this month kotees birthday know?,,,
normal text,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,,,
normal text,Sorry about that this is my mates phone and i didnt write it love Kate,,,
it may be a spam message,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",,,
normal text,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",,,
normal text,"Aight, call me once you're close",,,
normal text,Nope thats fine. I might have a nap tho! ,,,
it may be a spam message,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,,,
normal text,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,,,
normal text,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
normal text,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
normal text,Ding me on ya break fassyole! Blacko from londn,,,
normal text,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,,,
normal text,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
normal text,Oh you got many responsibilities.,,,
it may be a spam message,You have 1 new message. Please call 08715205273,,,
normal text,I've reached sch already...,,,
it may be a spam message,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,,,
normal text,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,,,
normal text,Argh why the fuck is nobody in town ;_;,,,
it may be a spam message,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",,,
normal text,Thanks. Fills me with complete calm and reassurance! ,,,
normal text,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,,,
normal text,Are you driving or training?,,,
normal text,Lol for real. She told my dad I have cancer,,,
it may be a spam message,PRIVATE! Your 2003 Account Statement for 078,,,
normal text,"Oops I did have it,  &lt;#&gt; ?",,,
normal text,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",,,
normal text,"Hi Chikku, send some nice msgs",,,
normal text,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",,,
normal text,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",,,
normal text,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",,,
normal text,Cuz ibored. And don wanna study,,,
normal text,Wot about on wed nite I am 3 then but only til 9!,,,
normal text,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",,,
normal text,Any way where are you and what doing.,,,
normal text,That sucks. I'll go over so u can do my hair. You'll do it free right?,,,
normal text,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,,,
normal text,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",,,
normal text,Sday only joined.so training we started today:),,,
normal text,Sorry * was at the grocers.,,,
normal text,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,,,
it may be a spam message,"YOU VE WON! Your 4* Costa Del Sol Holiday or ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, P",,,
normal text,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,,,
normal text,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,,,
normal text,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,,,
it may be a spam message,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
normal text,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,,,
normal text,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,,,
normal text,I'm in office now da:)where are you?,,,
normal text,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,,,
normal text,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,,,
it may be a spam message,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½33:50 only with,,,
normal text,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),,,
normal text,Pls call me da. What happen.,,,
normal text,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",,,
normal text,No problem with the renewal. I.ll do it right away but i dont know his details.,,,
normal text,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,,,
normal text,Haven't left yet so probably gonna be here til dinner,,,
normal text,"Like  &lt;#&gt; , same question",,,
normal text,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,,,
normal text,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",,,
normal text,K k:) sms chat with me.,,,
normal text,I will come with karnan car. Please wait till 6pm will directly goto doctor.,,,
normal text,No but the bluray player can,,,
normal text,Ok... Then r we meeting later?,,,
normal text,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,,,
normal text,Just send a text. We'll skype later.,,,
normal text,Ok leave no need to ask,,,
it may be a spam message,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",,,
normal text,ýý still got lessons?  ýý in sch?,,,
normal text,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,,,
normal text,Oh did you charge camera,,,
normal text,Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,
normal text,Now i'm going for lunch.,,,
normal text,I'm in school now n i'll be in da lab doing some stuff give me a call when ï¿½ï¿½ï¿½ï,,,
normal text,Oh k. . I will come tomorrow,,,
normal text,"Aight, text me tonight and we'll see what's up",,,
normal text,U 2.,,,
normal text,Water logging in desert. Geoenvironmental implications.,,,
normal text,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
normal text,Company is very good.environment is terrific and food is really nice:),,,
normal text,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",,,
it may be a spam message,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,,,
normal text,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",,,
normal text,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",,,
normal text,K sure am in my relatives home. Sms me de. Pls:-),,,
normal text,I sent them. Do you like?,,,
normal text,"Fuuuuck I need to stop sleepin, sup",,,
normal text,I'm in town now so i'll jus take mrt down later.,,,
normal text,I just cooked a rather nice salmon a la you,,,
normal text,I uploaded mine to Facebook,,,
normal text,WHAT TIME U WRKIN?,,,
normal text,Okie,,,
it may be a spam message,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
it may be a spam message,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,,,
normal text,"Sorry, I'll call later",,,
normal text,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,,,
normal text,"It's wylie, you in tampa or sarasota?",,,
normal text,Ok... Take ur time n enjoy ur dinner...,,,
normal text,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,,,
it may be a spam message,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",,,
normal text,I like cheap! But iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,
normal text,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,,,
normal text,Ugh my leg hurts. Musta overdid it on mon.,,,
it may be a spam message,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,,,
it may be a spam message,"YOU VE WON! Your 4* Costa Del Sol Holiday or ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, P",,,
normal text,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,,,
normal text,Me fine..absolutly fine,,,
normal text,How come she can get it? Should b quite diff to guess rite...,,,
it may be a spam message,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,,,
normal text,I will reach ur home in  &lt;#&gt;  minutes,,,
normal text,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",,,
normal text,Hi.what you think about match?,,,
normal text,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",,,
normal text,Dai i downloaded but there is only exe file which i can only run that exe after installing.,,,
normal text,It is only yesterday true true.,,,
normal text,K.k.how is your business now?,,,
normal text,3 pa but not selected.,,,
it may be a spam message,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,,,
normal text,I keep ten rs in my shelf:) buy two egg.,,,
normal text,I am late. I will be there at,,,
normal text,Well thats nice. Too bad i cant eat it,,,
normal text,I accidentally brought em home in the box,,,
normal text,Pls she needs to dat slowly or she will vomit more.,,,
normal text,I have to take exam with in march 3,,,
normal text,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",,,
normal text,5 nights...We nt staying at port step liao...Too ex,,,
normal text,If I die I want u to have all my stuffs.,,,
normal text,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",,,
normal text,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
normal text,Prabha..i'm soryda..realy..frm heart i'm sory,,,
normal text,I re-met alex nichols from middle school and it turns out he's dealing!,,,
it may be a spam message,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,,,
normal text,It means u could not keep ur words.,,,
normal text,"Nope, I'm still in the market",,,
normal text,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,,,
it may be a spam message,YOU ARE CHOSEN TO RECEIVE A ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½350 AWARD! Pls call claim number 09066364311 to collect your award which you ,,,
normal text,Hey what how about your project. Started aha da.,,,
normal text,Ok cool. See ya then.,,,
normal text,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,,,
normal text,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
it may be a spam message,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,,,
normal text,Yeah I can still give you a ride,,,
normal text,"Jay wants to work out first, how's 4 sound?",,,
normal text,"Gud gud..k, chikku tke care.. sleep well gud nyt",,,
normal text,Its a part of checking IQ,,,
normal text,Hmm thinking lor...,,,
normal text,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,,,
normal text,thanks for the temales it was wonderful. Thank. Have a great week.,,,
normal text,Thank you princess! I want to see your nice juicy booty...,,,
normal text,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,,,
normal text,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
normal text,U come n search tat vid..not finishd..,,,
normal text,"K I'm leaving soon, be there a little after 9",,,
it may be a spam message,Urgent! Please call 09061213237 from a landline. ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½5000 cash or a 4* holida,,,
normal text,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",,,
normal text,You do your studies alone without anyones help. If you cant no need to study.,,,
normal text,Please tell me not all of my car keys are in your purse,,,
normal text,I didnt get anything da,,,
normal text,Ok... Sweet dreams...,,,
normal text,Well she's in for a big surprise!,,,
normal text,"As usual..iam fine, happy &amp; doing well..:)",,,
normal text,1 in cbe. 2 in chennai.,,,
normal text,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,,,
normal text,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,,,
normal text,I absolutely LOVE South Park! I only recently started watching the office.,,,
normal text,Did you see that film:),,,
normal text,Pls speak with me. I wont ask anything other then you friendship.,,,
normal text,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
normal text,Gud ni8.swt drms.take care,,,
normal text,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,
normal text,Anything lar then ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,
normal text,\ER," ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx\""""",,
it may be a spam message,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",,,
normal text,Did u fix the teeth?if not do it asap.ok take care.,,,
normal text,So u wan 2 come for our dinner tonight a not?,,,
normal text,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",,,
normal text,Its too late:)but its k.wish you the same.,,,
normal text,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",,,
normal text,Oh yeah clearly it's my fault,,,
normal text,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,,,
normal text,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",,,
it may be a spam message,URGENT! Your Mobile number has been awarded with a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½2000 prize GUARANTEED. Call 09061790126,,,
normal text,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",,,
normal text,"Vikky, come around  &lt;TIME&gt; ..",,,
normal text,"And how you will do that, princess? :)",,,
normal text,I have gone into get info bt dont know what to do,,,
normal text,"Yeah, probably here for a while",,,
normal text,Sent me ur email id soon,,,
it may be a spam message,"URGENT! You have won a 1 week FREE membership in our ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½100,000 Prize Jackpot! Txt the word: CLAIM to No:",,,
normal text,I'm still pretty weak today .. Bad day ?,,,
normal text,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,,,
normal text,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),,,
normal text,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,,,
normal text,Dear where you. Call me,,,
normal text,Xy trying smth now. U eat already? We havent...,,,
it may be a spam message,Urgent! Please call 09061213237 from landline. ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½5000 cash or a luxury 4* Canary Islands Holiday await ,,,
normal text,I donno its in your genes or something,,,
it may be a spam message,XMAS iscoming & ur awarded either ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½500 CD gift vouchers & free entry 2 r ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Alex says he's not ok with you not being ok with it,,,
normal text,Are u coming to the funeral home,,,
normal text,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,,,
normal text,I.ll hand her my phone to chat wit u,,,
normal text,Well good morning mr . Hows london treatin' ya treacle?,,,
normal text,I can't make it tonight,,,
normal text,At WHAT TIME should i come tomorrow,,,
normal text,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,,,
normal text,"I can. But it will tell quite long, cos i haven't finish my film yet...",,,
normal text,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,,,
normal text,"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\""""",,,
normal text,Ill be at yours in about 3 mins but look out for me,,,
normal text,What you did in  leave.,,,
normal text,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,,,
normal text,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",,,
normal text,"yeah, that's what I was thinking",,,
normal text,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,,,
normal text,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,,,
normal text,My sister going to earn more than me da.,,,
it may be a spam message,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX ï¿½ï¿½,,,
normal text,Hahaha..use your brain dear,,,
normal text,Jus finish watching tv... U?,,,
normal text,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",,,
normal text,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",,,
normal text,Kothi print out marandratha.,,,
normal text,But we havent got da topic yet rite?,,,
normal text,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,,,
normal text,"Thanks, I'll keep that in mind",,,
normal text,Aah bless! How's your arm?,,,
normal text,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",,,
